first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,value_per_m
Jayden,Danns,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,43,FWD,0.0
Alexander,Isak,2,1,32,593,8,38.1,107.6,162.0,2,103,30.0,1,0,0,4.4,103,FWD,3.1
Hugo,Ekitiké,11,4,125,1797,25,307.2,525.8,739.0,22,433,156.2,7,0,0,19.3,91,FWD,13.7
Rio,Ngumoha,2,0,32,304,5,154.3,140.6,162.0,3,148,45.6,2,0,0,1.1,43,MID,7.4
Giovanni,Leoni,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,DEF,0.0
Kieran,Morrison,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
Wellity,Lucky,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF,0.0
Antoine,Semenyo,15,6,181,2834,48,538.4,816.8,922.0,17,602,227.6,10,0,7,47.9,82,MID,22.1
James,Trafford,0,0,11,270,4,0.0,100.2,0.0,0,62,10.1,1,0,0,0.9,45,GK,2.4
Marc,Guéhi,3,4,158,2790,31,263.9,798.4,382.0,13,605,144.5,12,0,6,31.5,51,DEF,31.0
Ederson,Santana de Moraes,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.8,53,GK,0.0
Marcus,Bettinelli,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,38,GK,0.0
Rayan,Aït-Nouri,0,2,53,868,8,184.3,184.6,70.0,9,215,43.9,4,0,2,4.2,57,DEF,9.3
Joško,Gvardiol,2,2,77,1301,13,104.7,354.6,193.0,5,291,65.3,6,0,2,3.2,58,DEF,13.3
Manuel,Akanji,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,54,DEF,0.0
Nathan,Aké,0,0,28,488,7,93.1,104.0,25.0,1,117,22.3,2,0,1,0.6,52,DEF,5.4
Abdukodir,Khusanov,0,0,56,1157,9,100.0,246.6,19.0,3,249,36.8,5,0,2,0.5,54,DEF,10.4
Matheus,Nunes,1,8,145,2534,24,490.6,635.6,119.0,16,625,124.8,11,0,4,2.7,53,DEF,27.4
Rúben,dos Santos Gato Alves Dias,2,0,112,2049,20,139.5,549.2,96.0,4,447,78.6,12,0,3,3.2,55,DEF,20.4
John,Stones,0,0,12,351,8,19.6,76.6,2.0,0,45,9.8,1,0,0,0.6,54,DEF,2.2
Rico,Lewis,0,1,19,311,5,97.3,67.4,43.0,2,75,20.7,1,0,1,1.2,46,DEF,4.1
Nico,O'Reilly,5,4,152,2373,21,381.9,617.0,502.0,10,540,150.1,13,0,4,11.3,51,DEF,29.8
Vitor,de Oliveira Nunes dos Reis,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,DEF,0.0
Omar,Marmoush,1,3,40,566,5,146.4,132.2,229.0,4,122,50.4,3,0,2,2.5,83,MID,4.8
Phil,Foden,7,3,114,1827,16,798.2,513.0,443.0,10,497,175.2,10,0,4,7.7,80,MID,14.2
Sávio,Moreira de Oliveira,0,2,30,602,5,146.3,91.4,259.0,0,101,49.6,2,0,2,0.4,69,MID,4.3
Bernardo,Mota Veiga de Carvalho e Silva,2,4,91,2502,25,717.3,461.2,297.0,4,470,147.7,11,0,9,0.6,62,MID,14.7
Rayan,Cherki,4,11,123,1546,14,879.2,551.0,516.0,16,533,194.8,8,0,1,9.6,64,MID,19.2
Jérémy,Doku,2,8,90,1474,14,663.8,377.2,476.0,9,390,151.5,7,0,0,2.5,64,MID,14.1
İlkay,Gündoğan,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,63,MID,0.0
Rodrigo 'Rodri',Hernandez Cascante,1,0,62,1420,14,392.5,341.8,102.0,5,323,83.8,5,0,2,0.5,63,MID,9.8
Mateo,Kovačić,0,0,2,13,0,3.6,4.4,0.0,0,7,0.8,0,0,0,0.0,58,MID,0.3
Nico,González Iglesias,1,0,57,1397,14,200.9,285.8,65.0,1,305,55.1,7,0,6,0.1,59,MID,9.7
Claudio,Echeverri,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,54,MID,0.0
Tijjani,Reijnders,5,2,86,1488,16,340.0,339.4,394.0,6,325,106.5,7,0,2,9.1,50,MID,17.2
Sverre,Nypan,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID,0.0
Kalvin,Phillips,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,47,MID,0.0
Erling,Haaland,24,7,212,2683,28,282.5,1045.0,1350.0,37,845,267.9,12,0,2,53.8,145,FWD,14.6
Gianluigi,Donnarumma,0,0,119,2700,25,0.0,589.8,0.0,3,506,59.1,13,0,6,9.0,56,GK,21.2
Divine,Mukasa,0,0,2,25,0,28.3,4.2,4.0,0,5,3.7,0,0,0,0.0,44,MID,0.5
Stephen,Mfuni,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,39,DEF,0.0
Ryan,McAidoo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
Charlie,Gray,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
Reigan,Heskey,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
Max,Alleyne,0,0,5,135,1,14.8,34.0,26.0,0,27,7.5,0,0,0,0.0,39,DEF,1.3
Bryan,Mbeumo,9,3,126,2297,33,711.9,547.8,761.0,15,456,202.1,6,0,4,17.5,85,MID,14.8
Altay,Bayındır,0,0,11,540,11,10.0,118.4,0.0,0,49,12.8,0,0,0,0.3,47,GK,2.3
André,Onana,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,49,GK,0.0
Elyh,Harrison,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK,0.0
Tom,Heaton,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.6,38,GK,0.0
Dermot,Mee,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,39,GK,0.0
