Understat_ID, FPL_ID, Understat_Name, FPL_Name
-1,131,,Yunus Emre Konak
-1,132,,Paris Maghoma
-1,133,,Myles Peart-Harris
-1,134,,Ryan Trevitt
-1,136,,Igor Thiago Nascimento Rodrigues
-1,137,,Iwan Morgan
-1,748,,Josh Dasilva
-1,797,,Kaye Furo
-1,138,,Jason Steele
-1,139,,Bart Verbruggen
-1,140,,Tom McGill
-1,141,,Carl Rushworth
-1,142,,Kjell Scherpen
-1,143,,Olivier Boscagli
-1,144,,Diego Coppola
-1,145,,Maxim De Cuyper
-1,146,,Lewis Dunk
-1,147,,Pervis Estupiñán Tenorio
-1,148,,Ferdi Kadıoğlu
-1,150,,Tariq Lamptey
-1,151,,Jan Paul van Hecke
-1,152,,Joël Veltman
-1,153,,Adam Webster
-1,154,,Eiran Cashin
-1,155,,Jacob Slater
-1,156,,Charlie Tasker
-1,157,,Mitoma Kaoru
-1,158,,Georginio Rutter
-1,159,,Solly March
-1,160,,Yankuba Minteh
-1,161,,Julio Enciso Espínola
-1,162,,Brajan Gruda
-1,163,,Jack Hinshelwood
-1,164,,Matt O'Riley
-1,165,,Abdallah Sima
-1,166,,Yasin Ayari
-1,167,,Carlos Baleba
-1,169,,Diego Gómez Amarilla
-1,170,,James Milner
-1,171,,Jeremy Sarmiento Morante
-1,172,,Tom Watson
-1,173,,Mats Wieffer
-1,174,,Malick Yalcouyé
-1,175,,Joe Knight
-1,176,,Adrian Mazilu
-1,177,,Andrew Moran
-1,178,,Danny Welbeck
-1,179,,Evan Ferguson
-1,180,,Stefanos Tzimas
-1,181,,Charalampos Kostoulas
-1,744,,Nehemiah Oriola
-1,761,,Freddie Simmonds
-1,783,,Pascal Groß
-1,795,,Harry Howell
-1,220,,Robert Lynch Sánchez
-1,221,,Filip Jörgensen
-1,222,,Mike Penders
-1,223,,Gabriel Słonina
-1,224,,Marc Cucurella Saseta
-1,225,,Reece James
-1,226,,Trevoh Chalobah
-1,227,,Levi Samuels Colwill
-1,228,,Malo Gusto
-1,229,,Benoît Badiashile Mukinayi
-1,230,,Wesley Fofana
-1,231,,Mamadou Sarr
-1,232,,Tosin Adarabioyo
-1,233,,Josh Acheampong
-1,234,,Aarón Anselmino
-1,235,,Cole Palmer
-1,236,,Pedro Lomba Neto
-1,237,,Enzo Fernández
-1,238,,Estêvão Almeida de Oliveira Gonçalves
-1,239,,Jamie Bynoe-Gittens
-1,240,,Christopher Nkunku
-1,241,,Moisés Caicedo Corozo
-1,243,,Tyrique George
-1,244,,Roméo Lavia
-1,245,,Mykhailo Mudryk
-1,246,,Andrey Nascimento dos Santos
-1,247,,Dário Luís Essugo
-1,248,,Kendry Páez Andrade
-1,249,,João Pedro Junqueira de Jesus
-1,250,,Liam Delap
-1,251,,Nicolas Jackson
-1,252,,Marc Guiu Paz
-1,453,,Alejandro Garnacho Ferreyra
-1,672,,Jorrel Hato
-1,743,,Landon Emenalo
-1,789,,Max Merrick
-1,253,,Dean Henderson
-1,254,,Walter Benítez
-1,255,,Remi Matthews
-1,256,,Daniel Muñoz Mejía
-1,257,,Maxence Lacroix
-1,258,,Tyrick Mitchell
-1,259,,Borna Sosa
-1,261,,Chris Richards
-1,262,,Chadi Riad Dnanou
-1,263,,Nathaniel Clyne
-1,264,,Rob Holding
-1,265,,Caleb Kporha
-1,267,,Ismaïla Sarr
-1,268,,Cheick Doucouré
-1,269,,Romain Esse
-1,270,,Will Hughes
-1,271,,Daichi Kamada
-1,272,,Jefferson Lerma Solís
-1,273,,Adam Wharton
-1,274,,Asher Agbinone
-1,275,,Naouirou Ahamada
-1,276,,Justin Devenny
-1,277,,Malcolm Ebiowei
-1,278,,Jesurun Rak-Sakyi
-1,279,,Matheus França de Oliveira
-1,280,,David Ozoh
-1,281,,Kaden Rodney
-1,282,,Franco Umeh-Chibueze
-1,283,,Jean-Philippe Mateta
-1,284,,Eddie Nketiah
-1,285,,Odsonne Édouard
