id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
12369,Lucas Perri,16,1440,0,0,0,0,0,0,2,0,GK,Leeds,0,0,2.474491350352764,2.474491350352764
12409,Adam Wharton,23,1942,0,0.7645220095291734,3,4.032014977186918,21,27,3,1,M,Crystal Palace,0,0.7645220095291734,9.987180188298225,7.822576619684696
12410,Joshua King,21,939,0,1.8808586671948433,1,0.41786515060812235,18,8,3,0,F M S,Fulham,0,1.8808586671948433,3.65378038585186,1.6224266067147255
12474,George Earthy,1,7,0,0,0,0,0,0,0,0,S,West Ham,0,0,0,0
12573,Tyrique George,6,223,0,0.6029326245188713,0,0,4,0,2,0,M S,"Chelsea,Everton",0,0.6029326245188713,0.47147367894649506,0.32524951733648777
12726,Christantus Uche,13,108,0,0.6968444399535656,0,0,5,0,0,0,S,Crystal Palace,0,0.6968444399535656,0.6702917106449604,0.03355732560157776
12757,Harrison Armstrong,8,411,0,0.345859169960022,0,0.10858960449695587,4,3,0,0,M S,Everton,0,0.345859169960022,1.3840024173259735,1.232573390007019
12758,Mats Wieffer,16,1183,0,1.1183841712772846,3,2.700726229697466,11,17,4,0,D S,Brighton,0,1.1183841712772846,6.311283525079489,5.071593374013901
12766,Jota Silva,1,7,0,0,0,0,0,0,0,0,S,Nottingham Forest,0,0,0,0
12774,Andy Irving,7,178,0,0,0,0.20211828127503395,0,3,0,0,M S,West Ham,0,0,0.17365871742367744,0.1385073959827423
12910,Mads Hermansen,6,540,0,0,0,0,0,0,0,0,GK,West Ham,0,0,0.25181953236460686,0.25181953236460686
13022,André,24,1773,0,0.2245861291885376,0,0.8688573725521564,7,11,8,0,M S,Wolverhampton Wanderers,0,0.2245861291885376,4.109463468194008,3.75745995901525
13026,Luis Guilherme,5,118,0,0.039350125938653946,0,0.05179738998413086,1,1,0,0,F S,West Ham,0,0.039350125938653946,0.0911475159227848,0
13064,Lutsharel Geertruida,20,981,0,0.5745942816138268,0,0.4117654310539365,5,6,0,0,D M S,Sunderland,0,0.5745942816138268,2.3013875409960747,1.5288366600871086
13066,Ferdi Kadioglu,25,2065,0,1.2172897644340992,0,1.0179330669343472,16,15,4,0,D M S,Brighton,0,1.2172897644340992,7.826730437576771,6.330799467861652
13068,Morato,14,934,0,1.401793820783496,0,0.013815321959555149,4,1,4,0,D S,Nottingham Forest,0,1.401793820783496,2.6422858498990536,2.0910839401185513
13080,Ayden Heaven,11,643,0,0.21505310852080584,1,0.365470789372921,3,2,1,0,D S,Manchester United,0,0.21505310852080584,3.301136404275894,2.846881777048111
13091,Jaydee Canvot,9,348,0,0.0723661407828331,0,0,1,0,1,0,D S,Crystal Palace,0,0.0723661407828331,0.6857196390628815,0.6857196390628815
13150,Jack Fletcher,3,97,0,0.037386249750852585,0,0.11487564817070961,1,2,0,0,S,Manchester United,0,0.037386249750852585,0.26276974007487297,0.14789408445358276
13156,Pedro Lima,3,3,0,0,0,0,0,0,0,0,S,Wolverhampton Wanderers,0,0,0,0
13200,Fernando López,9,211,0,0.21815450862050056,1,0.5119961202144623,5,3,1,0,M S,Wolverhampton Wanderers,0,0.21815450862050056,0.8440351467579603,0.22909747064113617
13242,Ben Winterburn,1,3,0,0,0,0,0,0,0,0,S,Bournemouth,0,0,0,0
13247,Ezra Mayers,5,95,0,0.10989412665367126,0,0.11634047329425812,1,2,0,0,S,West Ham,0,0.10989412665367126,0.39119094237685204,0.16495634242892265
13262,Jonah Kusi-Asare,5,19,0,0,0,0.081977978348732,0,1,1,0,S,Fulham,0,0,0.081977978348732,0
13298,Max Alleyne,2,138,0,0.38138192892074585,0,0.032163284718990326,2,1,0,0,D,Manchester City,0,0.38138192892074585,0.3675581216812134,0.3675581216812134
13306,Zach Abbott,2,117,0,0,0,0,0,0,0,0,D S,Nottingham Forest,0,0,0.07999436557292938,0.07999436557292938
13310,Jamaldeen Jimoh,1,5,0,0,0,0,0,0,0,0,S,Aston Villa,0,0,0.3433566093444824,0.3433566093444824
13387,Romain Esse,4,29,0,0,0,0,0,0,0,0,S,Crystal Palace,0,0,0,0
