id,isResult,side,h,a,goals,xG,datetime,forecast,result
28780,True,a,"{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'h': '1', 'a': '1'}","{'h': '1.44008', 'a': '0.902883'}",2025-08-16 14:00:00,"{'w': 0.4960070084857159, 'd': 0.26787810816888863, 'l': 0.23611488329805352}",d
28796,True,h,"{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '1', 'a': '1'}","{'h': '1.65333', 'a': '1.54603'}",2025-08-24 15:30:00,"{'w': 0.4059399346949016, 'd': 0.2339481953523581, 'l': 0.3601118695209833}",d
28798,True,a,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'h': '2', 'a': '0'}","{'h': '2.4324', 'a': '0.736228'}",2025-08-30 11:30:00,"{'w': 0.7479875008854081, 'd': 0.15862448807229243, 'l': 0.0933879622358464}",l
28813,True,h,"{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'h': '1', 'a': '0'}","{'h': '1.13979', 'a': '0.830398'}",2025-09-13 14:00:00,"{'w': 0.4280866888088012, 'd': 0.30611086382911845, 'l': 0.2658024473601841}",w
28825,True,h,"{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'h': '3', 'a': '1'}","{'h': '1.52431', 'a': '0.826556'}",2025-09-20 19:00:00,"{'w': 0.537607875190566, 'd': 0.2588881483115405, 'l': 0.203503976395354}",w
28831,True,a,"{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'h': '3', 'a': '1'}","{'h': '1.36575', 'a': '0.952612'}",2025-09-28 13:00:00,"{'w': 0.46357156209140726, 'd': 0.2746933352067363, 'l': 0.26173510267882444}",l
28838,True,a,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'h': '3', 'a': '1'}","{'h': '1.33458', 'a': '0.84335'}",2025-10-03 19:00:00,"{'w': 0.4820410763083154, 'd': 0.28146045875561887, 'l': 0.23649846491937826}",l
28851,True,h,"{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'h': '0', 'a': '1'}","{'h': '0.502332', 'a': '2.07823'}",2025-10-18 16:30:00,"{'w': 0.07735342587219587, 'd': 0.17798254983108464, 'l': 0.7446640178961821}",l
28866,True,a,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'h': '2', 'a': '1'}","{'h': '2.76806', 'a': '1.52001'}",2025-10-25 14:00:00,"{'w': 0.6375988877394007, 'd': 0.1695766089522843, 'l': 0.19282425466046385}",l
28871,True,h,"{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'h': '3', 'a': '0'}","{'h': '1.91207', 'a': '0.209934'}",2025-11-01 15:00:00,"{'w': 0.7933062912755959, 'd': 0.17292274771605343, 'l': 0.03377095886806097}",w
28882,True,a,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'h': '2', 'a': '0'}","{'h': '2.30607', 'a': '0.424478'}",2025-11-08 15:00:00,"{'w': 0.8007681646849931, 'd': 0.14641127202556117, 'l': 0.05282053863077324}",l
28892,True,h,"{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'id': '77', 'title': 'Sunderland', 'short_title': 'SUN'}","{'h': '1', 'a': '0'}","{'h': '2.83729', 'a': '0.222768'}",2025-11-22 15:00:00,"{'w': 0.9028087946602865, 'd': 0.08154374683671223, 'l': 0.015647120839661074}",w
28906,True,a,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'h': '1', 'a': '2'}","{'h': '1.04396', 'a': '0.494736'}",2025-11-29 20:00:00,"{'w': 0.4865414797571205, 'd': 0.3406939896496531, 'l': 0.1727645305926774}",w
28912,True,h,"{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '4', 'a': '5'}","{'h': '0.972635', 'a': '1.96225'}",2025-12-02 19:30:00,"{'w': 0.18125807290154525, 'd': 0.21452400766292523, 'l': 0.6042179164225953}",l
