assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,1,21.9,4,791,0.01,0.41,0.40,1.38,210,2,0,7.1,5.0,2026-01-06T20:00:00Z,90,False,16,0,0,0,3,0,21,0,350,1,0,2,1,44.0,2,314,336,22,55,True,0
0,0,-6,0,0,10.9,0,791,0.02,0.75,0.73,1.41,219,1,0,2.8,0.0,2026-01-17T15:00:00Z,90,False,18,0,0,0,0,0,22,0,2341,1,0,2,1,27.0,1,1877,2230,353,55,False,1
