id,isResult,side,h,a,goals,xG,datetime,forecast,result
26807,True,h,"{'id': '249', 'title': 'Nottingham Forest', 'short_title': 'NOT'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '1', 'a': '1'}","{'h': '0.5292', 'a': '2.72291'}",2025-01-14 20:00:00,"{'w': 0.049306132124209076, 'd': 0.11805474837123539, 'l': 0.8326389169935922}",d
26820,True,h,"{'id': '249', 'title': 'Nottingham Forest', 'short_title': 'NOT'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '3', 'a': '2'}","{'h': '2.36419', 'a': '1.25922'}",2025-01-19 14:00:00,"{'w': 0.619491267879434, 'd': 0.18896686932042697, 'l': 0.19154182885490884}",w
26822,True,a,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '249', 'title': 'Nottingham Forest', 'short_title': 'NOT'}","{'h': '5', 'a': '0'}","{'h': '2.8254', 'a': '0.996166'}",2025-01-25 15:00:00,"{'w': 0.751837143532056, 'd': 0.14310878627428383, 'l': 0.10505374963296099}",l
26840,True,h,"{'id': '249', 'title': 'Nottingham Forest', 'short_title': 'NOT'}","{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'h': '7', 'a': '0'}","{'h': '4.0677', 'a': '0.756296'}",2025-02-01 12:30:00,"{'w': 0.9114558942351856, 'd': 0.05967762821879294, 'l': 0.02884238850594681}",w
26845,True,a,"{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'id': '249', 'title': 'Nottingham Forest', 'short_title': 'NOT'}","{'h': '2', 'a': '1'}","{'h': '2.20993', 'a': '0.331301'}",2025-02-15 15:00:00,"{'w': 0.8091155271884435, 'd': 0.14789574927175217, 'l': 0.042988709305397936}",l
26860,True,a,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '249', 'title': 'Nottingham Forest', 'short_title': 'NOT'}","{'h': '4', 'a': '3'}","{'h': '3.45858', 'a': '2.38603'}",2025-02-23 14:00:00,"{'w': 0.5912110756060344, 'd': 0.15439625661121348, 'l': 0.2543889238143338}",l
26864,True,h,"{'id': '249', 'title': 'Nottingham Forest', 'short_title': 'NOT'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'h': '0', 'a': '0'}","{'h': '0.508611', 'a': '1.31766'}",2025-02-26 19:30:00,"{'w': 0.14319383652692905, 'd': 0.28840324695694197, 'l': 0.5684029165021512}",d
26878,True,h,"{'id': '249', 'title': 'Nottingham Forest', 'short_title': 'NOT'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '1', 'a': '0'}","{'h': '0.501476', 'a': '0.721234'}",2025-03-08 12:30:00,"{'w': 0.2253942177885574, 'd': 0.4109462237477347, 'l': 0.3636595584637049}",w
26887,True,a,"{'id': '285', 'title': 'Ipswich', 'short_title': 'IPS'}","{'id': '249', 'title': 'Nottingham Forest', 'short_title': 'NOT'}","{'h': '2', 'a': '4'}","{'h': '0.520839', 'a': '1.30722'}",2025-03-15 15:00:00,"{'w': 0.14792304180281296, 'd': 0.2902522860855951, 'l': 0.5618246720990653}",w
26894,True,h,"{'id': '249', 'title': 'Nottingham Forest', 'short_title': 'NOT'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '1', 'a': '0'}","{'h': '0.512063', 'a': '1.86688'}",2025-04-01 20:00:00,"{'w': 0.09351722853451877, 'd': 0.2047715249082542, 'l': 0.7017112449979599}",w
26902,True,a,"{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'id': '249', 'title': 'Nottingham Forest', 'short_title': 'NOT'}","{'h': '2', 'a': '1'}","{'h': '2.63349', 'a': '0.96769'}",2025-04-05 16:30:00,"{'w': 0.7290373370426241, 'd': 0.15591532006521858, 'l': 0.1150472095641409}",l
26920,True,h,"{'id': '249', 'title': 'Nottingham Forest', 'short_title': 'NOT'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': '0', 'a': '1'}","{'h': '0.423949', 'a': '1.26036'}",2025-04-12 14:00:00,"{'w': 0.1244934729389394, 'd': 0.2987881105382511, 'l': 0.5767184165152409}",l
26930,True,a,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '249', 'title': 'Nottingham Forest', 'short_title': 'NOT'}","{'h': '1', 'a': '2'}","{'h': '2.4024', 'a': '0.557682'}",2025-04-21 19:00:00,"{'w': 0.7839634795373714, 'd': 0.1482538010700355, 'l': 0.06778267773215112}",w
26939,True,h,"{'id': '249', 'title': 'Nottingham Forest', 'short_title': 'NOT'}","{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'h': '0', 'a': '2'}","{'h': '0.670607', 'a': '1.52054'}",2025-05-01 18:30:00,"{'w': 0.16363463698030092, 'd': 0.25834651157326655, 'l': 0.5780188513473031}",l
26949,True,a,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '249', 'title': 'Nottingham Forest', 'short_title': 'NOT'}","{'h': '1', 'a': '1'}","{'h': '2.34037', 'a': '0.63684'}",2025-05-05 19:00:00,"{'w': 0.7561066972599524, 'd': 0.16028470347534907, 'l': 0.0836085694576368}",d
26958,True,h,"{'id': '249', 'title': 'Nottingham Forest', 'short_title': 'NOT'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '2', 'a': '2'}","{'h': '1.76909', 'a': '1.22949'}",2025-05-11 13:15:00,"{'w': 0.5005333844944284, 'd': 0.23363929453827426, 'l': 0.2658273201999411}",d
26971,True,a,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '249', 'title': 'Nottingham Forest', 'short_title': 'NOT'}","{'h': '1', 'a': '2'}","{'h': '0.850457', 'a': '2.14756'}",2025-05-18 13:15:00,"{'w': 0.13655352107858246, 'd': 0.19208002414791814, 'l': 0.6713664449558067}",w
26972,True,h,"{'id': '249', 'title': 'Nottingham Forest', 'short_title': 'NOT'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '0', 'a': '1'}","{'h': '1.58014', 'a': '1.30874'}",2025-05-25 15:00:00,"{'w': 0.43763293305414375, 'd': 0.24577426945092604, 'l': 0.3165927973152666}",l
